private, 0
remote_job, 1
name, 2
netbios_ns, 3
mtp, 4
finger, 5
supdup, 6
uucp_path, 7
ftp_data, 8
Z39_50, 9
csnet_ns, 10
uucp, 11
http, 12
netbios_dgm, 13
auth, 14
domain, 15
ftp, 16
bgp, 17
ldap, 18
ecr_i, 19
telnet, 20
vmnet, 21
systat, 22
http_443, 23
efs, 24
whois, 25
gopher, 26
imap4, 27
iso_tsap, 28
echo, 29
klogin, 30
link, 31
sunrpc, 32
login, 33
kshell, 34
time, 35
sql_net, 36
hostnames, 37
exec, 38
discard, 39
nntp, 40
courier, 41
ctf, 42
ssh, 43
smtp, 44
daytime, 45
shell, 46
netstat, 47
nnsp, 48
pop_2, 49
printer, 50
tim_i, 51
pop_3, 52
netbios_ssn, 53
rje, 54
other, 55
